feature,drawdown_weight,neg_weight,auc,threshold,accuracy,precision,recall,f1,tp,fp,tn,fn
baseline_final_avg,,,0.9900793650793651,93.22211293651367,0.9777777777777777,1.0,0.6666666666666666,0.8,4,0,84,2
trajectory_mean_avg,,,1.0,42.3176198778463,1.0,1.0,1.0,1.0,6,0,84,0
minus_drawdown_0.5,,,0.9861111111111112,61.355400699189,0.9666666666666667,0.6666666666666666,1.0,0.8,6,3,81,0
minus_neg_hop_0.25,,,0.9861111111111112,50.7292368167046,0.9666666666666667,0.6666666666666666,1.0,0.8,6,3,81,0
grid_memory_score,0.0,0.05,0.9920634920634921,86.96544291912771,0.9777777777777777,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,83,1
