data_tag,goal_tag,interval,task_tag,scene_object,video_success,task_matches_scene,goal_success,incremental_final,incremental_max,incremental_min,incremental_mean,incremental_max_drawdown,incremental_neg_hop_sum,incremental_pos_hop_sum,incremental_min_hop,incremental_max_hop,incremental_neg_hop_count,backward_final,backward_max,backward_min,backward_mean,backward_max_drawdown,backward_neg_hop_sum,backward_pos_hop_sum,backward_min_hop,backward_max_hop,backward_neg_hop_count,forward_final,forward_max,forward_min,forward_mean,forward_max_drawdown,forward_neg_hop_sum,forward_pos_hop_sum,forward_min_hop,forward_max_hop,forward_neg_hop_count,baseline_final_avg,trajectory_mean_avg,max_drawdown_avg,neg_hop_sum_avg
pick3fail_11,blank,20,carrot,carrot,False,True,False,1.6023219062508371,38.857244079124,0.0,16.16367643230709,37.254922172873165,280.1,60.2,-50.0,13.3,8,5.299999999999994,52.6,0.0,16.655172413793103,52.6,71.4,76.69999999999999,-29.100000000000005,16.700000000000003,7,0.0,52.400000000000006,0.0,17.372413793103448,52.400000000000006,69.3,69.3,-22.000000000000004,12.699999999999998,10,2.300773968750277,16.730420879734545,47.41830739095772,140.26666666666668
pick3fail_11,blank,20,cube,carrot,False,False,False,3.0575942050499876,31.73218348628125,0.0,11.308072173565401,28.674589281231263,227.9,42.0,-50.0,10.0,6,5.299999999999994,52.400000000000006,5.299999999999994,12.513793103448272,47.10000000000001,56.80000000000002,62.10000000000001,-37.4,16.799999999999994,5,0.0,52.2,0.0,12.10344827586207,52.2,69.9,69.9,-32.2,19.7,9,2.7858647350166605,11.975104517625248,42.658196427077094,118.20000000000002
pick3fail_12_bottle,blank,10,bottle,bottle,False,True,False,14.842608155870462,37.52811868680719,0.0,19.543676220049967,22.685510530936728,122.1,60.400000000000006,-33.3,10.0,7,5.000000000000004,66.7,4.799999999999994,24.79142857142857,61.900000000000006,87.7000000000001,92.70000000000012,-37.4,14.3,18,10.0,57.10000000000001,0.0,24.934285714285714,47.10000000000001,60.89999999999999,70.9,-11.399999999999999,7.600000000000001,18,9.947536051956822,23.08979683525475,43.895170176978915,90.23333333333336
pick3fail_12_bottle,blank,10,carrot,bottle,False,False,False,4.935048297397976,39.480386379183805,0.0,9.867802921995375,34.54533808178583,178.2,49.900000000000006,-50.0,16.7,6,4.5000000000000036,66.7,4.5000000000000036,21.407142857142855,62.2,93.29999999999997,97.8,-33.400000000000006,19.100000000000005,17,3.8,50.0,0.0,15.568571428571428,46.2,62.8,66.60000000000002,-12.0,9.799999999999997,20,4.411682765799326,15.614505735903219,47.64844602726195,111.43333333333332
pick3fail_12_bottle,blank,10,cube,bottle,False,False,False,4.178960217986489,41.76871782095442,0.0,10.59326540035196,37.589757602967936,212.8,57.20000000000001,-50.0,7.7,8,5.299999999999994,52.2,5.000000000000004,16.43142857142857,47.199999999999996,91.89999999999998,97.19999999999996,-26.200000000000003,9.499999999999996,18,4.2,40.0,0.0,15.565714285714286,35.8,56.699999999999996,60.9,-13.899999999999995,5.8,15,4.559653405995494,14.196802752498272,40.196585867655976,120.46666666666667
pick3fail_12_bottle,blank,20,bottle,bottle,False,True,False,18.98074117235334,51.56408903111475,0.0,26.69409716684397,32.58334785876141,115.9,88.8,-25.0,12.5,7,4.799999999999994,60.0,4.799999999999994,24.82857142857143,55.2,59.900000000000006,64.7,-42.099999999999994,7.699999999999996,7,10.0,52.400000000000006,0.0,25.04,42.400000000000006,50.30000000000001,60.300000000000004,-15.0,6.5,6,11.260247057451112,25.520889531805132,43.3944492862538,75.36666666666667
pick3fail_12_bottle,blank,20,carrot,bottle,False,False,False,4.943634912942346,57.863705274026735,0.0,23.253370903147623,52.92007036108439,257.9,99.7,-50.0,16.7,8,4.799999999999994,69.6,4.5000000000000036,21.617142857142856,65.1,82.10000000000002,86.90000000000003,-56.7,13.600000000000001,10,3.8,50.0,0.0,15.24,46.2,62.8,66.60000000000001,-25.0,9.999999999999998,9,4.51454497098078,20.036837920096826,54.740023453694796,134.26666666666665
pick3fail_12_bottle,blank,20,cube,bottle,False,False,False,25.664071319043618,53.788536487281704,0.0,25.962370299863064,32.03688246723579,147.5,98.79999999999998,-50.0,7.7,5,5.000000000000004,50.0,4.799999999999994,16.865714285714283,45.2,74.5,79.50000000000001,-38.9,23.799999999999997,8,4.3,40.0,0.0,15.428571428571429,36.2,45.699999999999996,50.00000000000001,-21.799999999999997,9.600000000000003,7,11.654690439681207,19.41888533804959,37.81229415574526,89.23333333333333
pick3fail_13_cube,blank,10,bottle,cube,False,False,False,1.0318409804338875,13.751004237,0.0,7.89897276951037,12.719163256566112,228.3,17.900000000000002,-50.0,4.8,7,4.799999999999994,29.200000000000003,4.799999999999994,9.914492753623188,24.40000000000001,56.90000000000009,61.70000000000009,-9.499999999999996,6.300000000000006,21,0.0,30.8,0.0,11.130434782608695,30.8,52.2,52.2,-6.899999999999995,5.800000000000001,23,1.9439469934779603,9.647966768580751,22.63972108552204,112.4666666666667
pick3fail_13_cube,blank,10,carrot,cube,False,False,False,0.7571997064975342,9.6911890625,0.0,4.592598830208355,8.933989356002465,308.3,15.0,-50.0,5.0,9,5.000000000000004,47.4,4.799999999999994,11.181159420289854,42.60000000000001,79.80000000000007,84.80000000000008,-15.800000000000002,14.100000000000001,21,4.2,26.899999999999995,0.0,11.84927536231884,22.699999999999996,56.99999999999999,61.199999999999974,-8.299999999999999,6.899999999999995,21,3.319066568832513,9.207677870939015,24.74466311866749,148.3666666666667
