source_summary,model,interval,goal_success,video_success,task_matches_scene,avg_progress_n,avg_progress_mean,avg_progress_median,avg_progress_std,avg_progress_min,avg_progress_max
summary3,multi_task,10,False,False,False,16,27.04183912076637,19.76215390185187,18.953151865650646,8.700611092966877,61.242935311937345
summary3,multi_task,10,False,False,True,8,29.080657915554323,18.89284371358989,24.6792053098826,6.713749203296785,72.7677301710648
summary3,multi_task,20,False,False,False,16,26.17752776810929,18.361018710443027,19.373903019577536,7.4080030611380225,60.90227392393526
summary3,multi_task,20,False,False,True,8,28.49388246176327,18.204667420359723,24.927003612976787,6.064380904646375,70.8720107155875
summary_GRM8B_new,GRM-2.0-8B,10,False,False,False,24,14.289107144580253,4.831050934768579,17.49286092057791,1.9439469934779605,54.31661232164864
summary_GRM8B_new,GRM-2.0-8B,10,False,False,True,12,23.559893777471036,7.670942136878503,30.927877864812633,2.640785717493815,90.88591587452434
summary_GRM8B_new,GRM-2.0-8B,10,False,True,False,6,32.512511084145565,31.346082055744894,6.205971117418576,26.53672079,45.29522916666667
summary_GRM8B_new,GRM-2.0-8B,10,True,True,True,3,90.08881110706179,90.42461291552637,6.282579732755316,82.23185044192793,97.60996996373107
summary_GRM8B_new,GRM-2.0-8B,20,False,False,False,24,14.837482213828574,4.373140410813413,18.99810822471009,2.611582272387078,59.7567764420568
summary_GRM8B_new,GRM-2.0-8B,20,False,False,True,12,24.030073287687454,5.824447844017751,33.889751236436794,2.2167158549312043,92.64085548795937
summary_GRM8B_new,GRM-2.0-8B,20,False,True,False,6,40.11866750427838,35.5467261822258,7.717458257895353,34.9439564869567,55.993059769926425
summary_GRM8B_new,GRM-2.0-8B,20,True,True,True,3,94.0588392357156,93.82087619186103,0.34898222419093733,93.80337038506796,94.55227113021778
